Transaction_ID,Items
1,"Ice Cream, Hot Dog, Bottled Water, Cigarettes"
2,"Instant Noodles, Hot Dog, Ice Cream"
3,"Candy Bar, Sandwich, Instant Noodles, Hot Dog"
4,"Ice Cream, Slurpee, Candy Bar, Cigarettes"
5,"Ice Cream, Bottled Water, Cigarettes, Slurpee"
6,"Hot Dog, Cigarettes"
7,"Hot Dog, Cigarettes, Candy Bar, Coffee"
8,"Cigarettes, Sandwich, Instant Noodles"
9,"Candy Bar, Instant Noodles, Coffee, Slurpee, Sandwich"
10,"Hot Dog, Ice Cream, Coffee"
11,"Coffee, Cigarettes, Energy Drink, Ice Cream, Sandwich"
12,"Bottled Water, Hot Dog, Cigarettes"
13,"Ice Cream, Instant Noodles, Sandwich"
14,"Coffee, Bottled Water, Hot Dog, Sandwich, Energy Drink"
15,"Slurpee, Cigarettes"
16,"Bottled Water, Hot Dog, Candy Bar, Ice Cream, Slurpee"
17,"Cigarettes, Sandwich, Energy Drink, Coffee"
18,"Coffee, Sandwich, Bottled Water"
19,"Slurpee, Cigarettes, Energy Drink, Instant Noodles, Coffee"
20,"Coffee, Energy Drink, Candy Bar"
