Transaction_ID,Items
1,"Frozen Meat, Large Pack of Chips"
2,"Large Pack of Chips, Cheese, Bulk Rice, Coffee Beans, Pack of Water Bottles"
3,"Coffee Beans, Large Pack of Chips, Cheese, Canned Goods"
4,"Bulk Pasta, Frozen Meat"
5,"Cheese, Bulk Pasta"
6,"Cheese, Detergent, Frozen Meat, Bulk Rice, Pack of Water Bottles"
7,"Olive Oil, Canned Goods, Bulk Rice, Pack of Water Bottles, Coffee Beans"
8,"Frozen Meat, Canned Goods, Large Pack of Chips"
9,"Pack of Water Bottles, Bulk Pasta, Cheese, Coffee Beans, Frozen Meat"
10,"Detergent, Canned Goods, Large Pack of Chips, Cheese"
11,"Coffee Beans, Bulk Rice"
12,"Olive Oil, Canned Goods, Pack of Water Bottles"
13,"Canned Goods, Large Pack of Chips"
14,"Cheese, Coffee Beans"
15,"Bulk Pasta, Olive Oil, Cheese, Frozen Meat, Pack of Water Bottles"
16,"Bulk Rice, Pack of Water Bottles, Canned Goods, Large Pack of Chips"
17,"Bulk Rice, Large Pack of Chips, Bulk Pasta, Olive Oil"
18,"Cheese, Pack of Water Bottles, Frozen Meat, Bulk Rice"
19,"Frozen Meat, Large Pack of Chips, Coffee Beans, Bulk Rice"
20,"Cheese, Large Pack of Chips, Pack of Water Bottles"
