Transaction_ID,Items
1,"Chair, Rug"
2,"Rug, Wardrobe, Dining Table"
3,"Dining Table, Curtains, Desk, Bed Frame, Lamp"
4,"Desk, Rug, Sofa, Lamp, Chair"
5,"Chair, Rug"
6,"Curtains, Desk, Bed Frame"
7,"Bookshelf, Chair"
8,"Lamp, Desk, Chair"
9,"Dining Table, Wardrobe, Bed Frame, Lamp, Rug"
10,"Chair, Sofa, Bookshelf, Wardrobe"
11,"Sofa, Chair, Curtains, Bookshelf"
12,"Chair, Wardrobe"
13,"Bed Frame, Desk, Lamp, Rug"
14,"Chair, Bed Frame"
15,"Bed Frame, Curtains"
16,"Sofa, Desk, Chair, Bookshelf, Dining Table"
17,"Bed Frame, Lamp, Wardrobe, Bookshelf"
18,"Bed Frame, Sofa"
19,"Wardrobe, Bed Frame"
20,"Wardrobe, Chair, Rug"
