Transaction_ID,Items
1,"Toothpaste, Chips, Shoes"
2,"T-Shirt, Backpack, Jeans, Laundry Detergent"
3,"Shoes, Backpack, Laundry Detergent"
4,"Backpack, Sunscreen"
5,"Sunscreen, Chips, Jeans"
6,"T-Shirt, Chips, Jeans, Soda"
7,"Toothpaste, Backpack, Soda, Chips"
8,"Chips, Soda, Cereal, Shoes"
9,"Jeans, Laundry Detergent, Cereal"
10,"Sunscreen, Soda"
11,"Soda, Jeans, Cereal"
12,"Laundry Detergent, Chips, Shoes, Soda"
13,"Toothpaste, Shoes"
14,"T-Shirt, Toothpaste, Backpack, Laundry Detergent"
15,"Shoes, Backpack, Soda"
16,"Cereal, Soda"
17,"Backpack, Cereal, T-Shirt"
18,"Soda, Shoes"
19,"Toothpaste, Jeans, Laundry Detergent, Soda, Chips"
20,"Chips, Soda"
