Transaction_ID,Items
1,"Milk, Frozen Pizza, Shampoo, Light Bulbs, Dish Soap"
2,"Milk, Chicken Breast, Light Bulbs, Body Wash, Toilet Paper"
3,"Batteries, Eggs"
4,"Shampoo, Chicken Breast"
5,"Batteries, Eggs"
6,"Batteries, Frozen Pizza, Shampoo, Chicken Breast, Milk"
7,"Chicken Breast, Shampoo, Frozen Pizza, Dish Soap"
8,"Shampoo, Frozen Pizza"
9,"Toilet Paper, Dish Soap, Frozen Pizza"
10,"Body Wash, Shampoo"
11,"Frozen Pizza, Body Wash"
12,"Batteries, Light Bulbs, Chicken Breast, Frozen Pizza"
13,"Batteries, Eggs, Shampoo, Dish Soap"
14,"Toilet Paper, Chicken Breast"
15,"Milk, Eggs, Shampoo, Light Bulbs"
16,"Milk, Body Wash"
17,"Frozen Pizza, Light Bulbs, Body Wash, Chicken Breast, Dish Soap"
18,"Batteries, Shampoo"
19,"Body Wash, Toilet Paper"
20,"Eggs, Milk, Body Wash, Frozen Pizza"
